source,gn,es,dialect_anotator_1,dialect_anotator_2,dialect_anotator_3,dialect_unified,correctness_annotator_1,correctness_annotator_2,correctness_annotator_3,correctness_unified
blogs,– Namendaséi haguére –ñe'ẽ ári ombohovái–.,– Porque no quería casarme –le respondió sobre sus palabras–.,guarani,guarani,guarani,guarani,A,A,A,A
libro_gn,"Oñehesaꞌỹijo jave ñeꞌẽaty oñembyatýva ha oñemoñeꞌẽasa jave ñeꞌẽ pyahu, ojejesarekóta heꞌípa hína upe heꞌiséva heꞌisehaichaite  .","En el análisis de las unidades terminológicas recogidas y en la traducción de nuevos términos, se tendrá en cuenta la funcionalidad de las distintas propuestas  .",guarani,guarani,guarani,guarani,A,C,A,A
libro_td,mba'éicha ha tekotevẽva,Términos y Condiciones,guarani,guarani,guarani,guarani,A,A,C,A
hackaton,py'apy,qué pena.,guarani,guarani,guarani,guarani,B,A,A,A
seminario,tembikuaareka,investigación,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,oĩmba,Completado,guarani,guarani,guarani,guarani,A,A,A,A
blogs,AUGUSTO ROA BASTOS oñemoarandu'ypýkuri Mitâmbo'ehao República Argentina-pe ha upéi oikékuri Mbo'ehao San José-pe.,AUGUSTO ROA BASTOS estudió inicialmente en la Escuela República Argentina y luego ingresó al Colegio San José.,guarani,guarani,jehe'a,guarani,A,A,A,A
spl,"Ko atýpe ojeguerojera avei ñe’ẽpeteĩme ojejapotaha apopyrã guasu rape hérava Plan Nacional de Fortalecimiento y Revalorización de las Lenguas Indígenas en el Paraguay, avei heta ambueve tembiaporã oykekokuaátava ypykuéra ñe’ẽita imbaretevévo ko’ẽ rei rehe.","Durante la sesión también se consensuó elaborar un Plan Nacional de Fortalecimiento y Revalorización de las Lenguas Indígenas en el Paraguay, así como otras futuras acciones que favorecerán a las lenguas nativas.",guarani,jehe'a,jehe'a,jehe'a,A,A,C,A
spl,"Ko’ãva ndive oikove añete avei 19 ypykuéra ñe’ẽ, ojepuru meméva hekoha rehekuéra, ha ojeporavóva avei chupekuéra ñane retã arandupy reheguaitéramo.","Además de ellas conviven 19 lenguas indígenas con una presencia viva, en su propio hábitat, reconocidas como parte del patrimonio cultural de la Nación.",guarani,guarani,guarani,guarani,A,A,A,A
anlp,Ha'e opyta oiko Augusta-pe upe ñembokapu riréjepe.,Él continuó viviendo en Augusta incluso después de los ataques.,guarani,guarani,guarani,guarani,A,A,A,A
seminario,Arandupy ñemboguata .,La actividad cultural .,guarani,guarani,guarani,guarani,A,A,A,A
seminario,tekoavy,delito,guarani,guarani,guarani,guarani,A,C,A,A
libro_gn,"Guaraníme oĩ umi techaukaha, tembiporumimi ombojoajúva ohóvo oñembaꞌemombeꞌúva arakaꞌetépa ha mamópa ojehu pe oikóva  .","En guaraní existen los deícticos, elementos de cohesión que ubican la narración en el tiempo y en el espacio  .",guarani,guarani,guarani,guarani,C,C,A,C
abc,Jepénte Georgia Arrúa ha umi parlamentario Patria Querida-gua he’i hikuái Cubas rekovia oikeva’erã pteî ipartidogua.,Aunque Georgia Arrúa y los parlamentarios de Patria Querida reiteraron que a Cubas debe reemplazarlo alguien de su partido.,jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
anlp,Upe mitâ renda oipe'â hokê opa ára mitâ imitâvéva po arýguipe ĝuarâ.,La guardería está abierta todos los días para niños menores de cinco años solamente.,guarani,guarani,guarani,guarani,A,B,A,A
spl,Omba’apóta subcomisión-kuéra ypykuéra ñe’ẽita aty pegua.,Reunión de trabajo de subcomisiones de lenguas indígenas.,jehe'a,jehe'a,jehe'a,jehe'a,A,A,A,A
spl,"Ko aty oikóta ág̃a ko’ẽrõ, 9 jasyrundýpe, 08:00 aravo guive, Misiones Gobernación koty guasúpe. Omoakãta Paraguái Ñe’ẽnguéra Sãmbyhyhára, Ladislaa Alcaraz de Silvero..","La actividad será mañana martes 9 de abril, a partir de las 08:00 hs., en el salón auditorio de la Gobernación de Misiones. Estará presidida por la ministra de la Secretaría de Políticas Lingüísticas (SPL), Ladislaa Alcaraz de Silvero..",guarani,jehe'a,jehe'a,jehe'a,A,B,A,A
seminario,"4 Plan de Acción Global (inglés-pe GAP) UNESCO omongu’éva Plan de Acción Global UNESCO omboguata oúvo 2014 guive, 4 mba’épe oñemohendáva (cambio climático, biodiversidad, mba’evai jehapejoko, tembi’u ha producción) .","4 El Plan de Acción Global (GAP en inglés) de UNESCO El Plan de Acción Global de UNESCO fue lanzado en el 2014, está anclado en 4 temáticas principales (cambio climático, biodiversidad, reducción de los riesgos de desastre, y el consumo y producción sostenibles) .",jopara,jopara,jehe'a,jopara,B,A,A,A
spl,"Ko tembiapo joaju rupive GS ha PÑS heta ogueroguatáta heta mba’e porã, taha’e guarani jepuru kuatiakuérape, térã ñe’ẽ jepurúpe ñepytyvõ, heta hendáicha.","Este convenio permitirá al Gabinete Social y a la SPL llevar a cabo un trabajo interinstitucional articulado, con especial énfasis en la documentación, promoción y difusión de la lengua guaraní, asesoramiento técnico-lingüístico, así como la realización de talleres, seminarios y otras iniciativas.",guarani,guarani,jehe'a,guarani,B,B,B,B
hackaton,ha'e oiko marruecos-pe,él vive en marruecos.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Namoñe'êi ni peteî aranduka ohasáva 100 kuatia roguégui.,No he leído ningún libro que tenga más de 100 páginas.,guarani,guarani,guarani,guarani,A,A,A,A
blogs,"Pe ñañareko oîva yvypóra ñe'âme -ha'éva angaipa rapykuere- avei jahechakuaa ambue mba'asykuérape oipyhýva yvy, y, yvypytu ha mayma tekovépe.","La violencia que hay en el corazón humano -herido por el pecado- también se manifiesta en los síntomas de enfermedad que advertimos en el suelo, en el agua, en el aire y en los seres vivientes.",guarani,guarani,guarani,guarani,A,D,A,A
abc,"Ojekuaa departamento Trasplantes de Órganos y Tejidos del Hospital de Clínica-pegua, kóva trasplante Nº 85 equipo médico ojapóva.","Según informó el departamento de Trasplantes de Órganos y Tejidos del Hospital de Clínicas, este es el trasplante Nº 85 realizado por el equipo médico.",jehe'a,jopara,jehe'a,jehe'a,A,A,A,A
libro_gn,"000) ha noñemboheramoꞌãi katuete (pateĩ, popa, sa, su)  .","000) y no en palabras (pateĩ, popa, sa, su)  .",guarani,guarani,guarani,guarani,D,D,A,D
blogs,Rohendu peteî akâ he'i “Jaha” ha ambuéva he'i “Jaheka so'o”.,Escuchamos a una de las cabezas decir “Vamos” y la otra le respondió “A buscar carne”.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,tekotevê hetaikte oñembokatupyry omboveve mboyve upe U2,Tienen que pasar por mucho entrenamiento antes de volar un U2.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,Che ryvy araka'eve noñembosako'íri.,Mi hermano nunca se alistó.,guarani,guarani,guarani,guarani,A,C,A,A
blogs,"– Mba'érepa ndokyhyjéi ndehegui hasýva, taha'e ra'e mitã térã kuña, ĝuaiĝui térã karai tuja.","– ¿Por qué no te tienen miedo los enfermos, ya sean un niño o una mujer, una vieja o un viejo?.",guarani,guarani,guarani,guarani,A,A,A,A
abc,Ombojoapy temimbo’e ohasa asýva estrés oñeikotevêva oñemohendávo clases virtuales.,Agregó que los estudiantes están sufriendo de estrés por las falencias en la aplicación de las clases virtuales.,jehe'a,guarani,jehe'a,jehe'a,A,D,B,D
hackaton,aikumbyma,ya entendí.,guarani,guarani,guarani,guarani,A,A,A,A
libro_td,ehai peteĩ ñe'ẽveve ndaha'éiva,Has ingresado una dirección de correo no válida,guarani,guarani,guarani,guarani,A,D,A,A
blogs,"Upéi oja'imie peteĩ ka'i kuña ha opoko hese: ojapysaka jaguarete py'árehe, ohendu haĝua naipytuhẽipa.","Luego una mona se acercó más y le tocó: acercó su oído al pecho del jaguar, para oír su respiración.",guarani,guarani,guarani,guarani,A,D,A,A
hackaton,aipuru va'ekue yvyra'anga aje'ói jave,he utilizado mapas durante mi viaje.,guarani,guarani,guarani,guarani,A,A,A,A
anlp,"Rejogua jave peteî mba'e, ko'ýte heta jave, rehepyme'ê ha katuete ojoapy hese ipyhýiva hi'arigua 10%","Cada vez que compras un artículo, especialmente un artículo de gran compra, es algo en lo que pagas y siempre has añadido un impuesto del diez por ciento.",guarani,guarani,guarani,guarani,A,B,A,A
seminario,jeiko kyhyje’ỹre,seguridad,guarani,guarani,guarani,guarani,A,C,A,A
seminario,atyvete,empresa,guarani,guarani,guarani,guarani,A,D,A,A
libro_td,tuichaiterei mba'e ñongatupy,Archivo muy grande,guarani,guarani,guarani,guarani,A,A,A,A
